Scenario_SplHitLine(Clone)_1
time;Consigne;PlayerMvt;Hit;BPM;Ax /;Ay /;Az /;Gx /;Gy /;Gz /;Mx /;My /;Mz /;Gesture /;probability/
6,023211;68,39796;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,043211;67,49797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,063211;66,59797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,08321;65,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,103211;64,79797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,12321;63,89797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,143211;62,99797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,16321;62,09797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,183211;61,19797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,203211;60,29797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,223211;59,39797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,243211;58,49797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,263211;57,59797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,283211;56,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,303211;55,79797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,323211;54,89797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,343211;53,99797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,363211;53,09797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,383211;52,19797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,403211;51,29797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,423211;50,39797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,443211;49,49797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,463211;48,59797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,483211;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
6,503211;47,69797;0; ;0;0;0;0;0;0;0;0;0;0;0;0
